;addr_build;addr_lat;addr_lng;addr_metro;addr_street;city;employer_name;employer_url;employer_url_vacancy;vac_money_cur;vac_money_from;vac_money_to;vac_name
0;6с16к2;55.6932064461;37.6608430466;ЗИЛ;Проектируемый проезд № 4062;Санкт-Петербург;Окей-Телеком;https://api.hh.ru/employers/2793580;https://hh.ru/vacancy/38090539;RUR;130000.0;;PHP программист
1;2;59.9414764073;30.3773919153;Чернышевская;Таврическая улица;Санкт-Петербург;Центр образовательных технологий Advance;https://api.hh.ru/employers/975943;https://hh.ru/vacancy/37960529;RUR;110000.0;150000.0;Middle/Senior PHP Developer
2;22;59.918341;30.346671;Обводный Канал;улица Константина Заслонова;Санкт-Петербург;ИНСТЭЛС;https://api.hh.ru/employers/1145286;https://hh.ru/vacancy/38223115;RUR;150000.0;;PHP-разработчик
3;;;;;;Санкт-Петербург;Route4Me;https://api.hh.ru/employers/4020601;https://hh.ru/vacancy/38256663;RUR;140000.0;280000.0;Senior PHP Laravel Developer
4;;;;;;Санкт-Петербург;Куб Три;https://api.hh.ru/employers/752801;https://hh.ru/vacancy/38285053;RUR;100000.0;120000.0;Программист PHP
5;;;;Петроградская;;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/37986912;RUR;120000.0;180000.0;PHP Developer
6;199-201;59.909567;30.28422;Балтийская;набережная Обводного канала;Санкт-Петербург;OFFERRUM;https://api.hh.ru/employers/2714881;https://hh.ru/vacancy/38039782;RUR;100000.0;200000.0;Senior PHP Developer
7;;;;;;Санкт-Петербург;ХаусЭйдж;https://api.hh.ru/employers/1686512;https://hh.ru/vacancy/38143102;RUR;150000.0;220000.0;Ведущий backend-разработчик PHP / Team Lead
8;40-44А;59.922296;30.345234;Владимирская;улица Достоевского;Санкт-Петербург;ЭЙС Солюшнс;https://api.hh.ru/employers/2482936;https://hh.ru/vacancy/38223073;RUR;100000.0;150000.0;Программист PHP (Symfony)
9;;;;Петроградская;;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/37199533;RUR;150000.0;200000.0;Senior PHP developer (Laravel) удаленно
10;18;59.934231;30.31029;Адмиралтейская;Малая Морская улица;Санкт-Петербург;Рекон Групп;https://api.hh.ru/employers/1707144;https://hh.ru/vacancy/36807485;RUR;150000.0;250000.0;Senior PHP Developer (Magento)
11;;;;Петроградская;;Санкт-Петербург;ABC.ru;https://api.hh.ru/employers/811315;https://hh.ru/vacancy/37644977;RUR;100000.0;140000.0;PHP разработчик/Middle PHP Developer
12;1к2;59.986808;30.305762;Чёрная речка;Торжковская улица;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/37824216;RUR;120000.0;;Backend-разработчик (php)
