;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
32;Помощник Full-Stack разработчика (PHP/MySQL/HTML/CSS/JS);80000.0;100000.0;RUR;Санкт-Петербург;ИндексБокс;https://api.hh.ru/employers/129011;https://hh.ru/vacancy/40874153;;;;;
33;PHP разработчик (Yii2);100000.0;;RUR;Санкт-Петербург;KOTELOV;https://api.hh.ru/employers/843093;https://hh.ru/vacancy/41117445;Владимирская;Загородный проспект;5;30.344884;59.927297
34;Middle PHP разработчик;60000.0;100000.0;RUR;Санкт-Петербург;US STUDIO;https://api.hh.ru/employers/2955825;https://hh.ru/vacancy/41634504;;Звенигородская улица;9-11Л;30.341632;59.917632
35;Backend разработчик;150000.0;;RUR;Санкт-Петербург;МиАТел;https://api.hh.ru/employers/1585617;https://hh.ru/vacancy/40879792;Лесная;Белоостровская улица;17к2;30.321258;59.986821
36;PHP-разработчик;;200000.0;RUR;Санкт-Петербург;FBS Inc.;https://api.hh.ru/employers/681575;https://hh.ru/vacancy/40258027;;;;;
37;Backend PHP developer;;250000.0;RUR;Санкт-Петербург;Медиалайн;https://api.hh.ru/employers/3951636;https://hh.ru/vacancy/41458845;;;;;
38;FullStack разработчик PHP (веб-проекты);70000.0;100000.0;RUR;Санкт-Петербург;Zum Punkt;https://api.hh.ru/employers/985903;https://hh.ru/vacancy/41635039;Обводный Канал;Лиговский проспект;140;30.3503258552;59.9139480953
39;PHP-разработчик (Битрикс);80000.0;130000.0;RUR;Санкт-Петербург;РДТоп;https://api.hh.ru/employers/969665;https://hh.ru/vacancy/40969294;;;;;
40;PHP Программист / Web разработчик;80000.0;;RUR;Санкт-Петербург;TRINET;https://api.hh.ru/employers/35431;https://hh.ru/vacancy/40952484;Петроградская;проспект Медиков;9Б;30.315617;59.970727
41;Ведущий разработчик PHP (удаленно);;200000.0;RUR;Санкт-Петербург;Кадровое агентство Юнити;https://api.hh.ru/employers/985;https://hh.ru/vacancy/41462257;;;;;
42;Full Stack Web Developer;100000.0;;RUR;Санкт-Петербург;Юридический центр Восстания 6;https://api.hh.ru/employers/817622;https://hh.ru/vacancy/41302873;;;;0.0;0.0
43;Backend web developer / WEB-разработчик;120000.0;180000.0;RUR;Санкт-Петербург;АВАНГАРД;https://api.hh.ru/employers/557534;https://hh.ru/vacancy/40871636;Старая Деревня;Приморский пр.;54 корпус 4;30.233367;59.9844
44;Php-программист (web-developer, веб-программист, MODX-разработчик);;100000.0;RUR;Санкт-Петербург;Стройметиз;https://api.hh.ru/employers/92525;https://hh.ru/vacancy/40161587;;;;30.3939091042;59.8811306708
45;Программист/разработчик - PHP и WordPress;70000.0;100000.0;RUR;Санкт-Петербург;БМикро;https://api.hh.ru/employers/731214;https://hh.ru/vacancy/41450981;;;;30.3035270423;59.9662734989
46;Web-разработчик PHP (middle);70000.0;100000.0;RUR;Санкт-Петербург;Dataloft;https://api.hh.ru/employers/2393737;https://hh.ru/vacancy/40533343;;;;;
47;Middle PHP developer;100000.0;;RUR;Санкт-Петербург;Смарт Лайн;https://api.hh.ru/employers/1528668;https://hh.ru/vacancy/40870635;Чёрная речка;Белоостровская улица;17к2;30.32115;59.986776
48;PHP-разработчик;;100000.0;RUR;Санкт-Петербург;АКМЭ сервис;https://api.hh.ru/employers/157761;https://hh.ru/vacancy/41450476;;;;;
