;addr_build;addr_lat;addr_lng;addr_metro;addr_street;city;employer_name;employer_url;employer_url_vacancy;vac_money_cur;vac_money_from;vac_money_to;vac_name
0;;;;;;Санкт-Петербург;Зиб Софт;https://api.hh.ru/employers/3813418;https://hh.ru/vacancy/30464606;RUR;135000.0;205000.0;Javascript / Node.js разработчик для open source криптовалюты
1;;;;;;Санкт-Петербург;Soshace;https://api.hh.ru/employers/1738507;https://hh.ru/vacancy/30524291;RUR;200000.0;300000.0;Full-stack JavaScript developer
2;12;59.96584;30.292997;Чкаловская;Левашовский проспект;Санкт-Петербург;Группа Компаний MVS;https://api.hh.ru/employers/964957;https://hh.ru/vacancy/30017779;RUR;90000.0;120000.0;Middle Front-End Developer
3;;;;Петроградская;;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/30612601;RUR;150000.0;200000.0;Senior Frontend Developer (Angular)
4;;;;;;Санкт-Петербург;Soshace;https://api.hh.ru/employers/1738507;https://hh.ru/vacancy/29386820;RUR;200000.0;300000.0;Front-end JavaScript Developer (React, Vue, Angular)
5;;;;Садовая;;Санкт-Петербург;Российский аукционный дом;https://api.hh.ru/employers/900282;https://hh.ru/vacancy/30617684;RUR;100000.0;;Back-end разработчик
6;;;;;;Санкт-Петербург;Риал Тайм Технологии;https://api.hh.ru/employers/3255674;https://hh.ru/vacancy/30199583;RUR;150000.0;180000.0;Senior Frontend-разработчик (ReactJS, AngularJS, Vue.js)
7;метро Римская;55.746228;37.681236;;Люблинско-Дмитровская линия;Санкт-Петербург;Шпак Виктория Сергеевна;https://api.hh.ru/employers/3140842;https://hh.ru/vacancy/30593950;RUR;100000.0;180000.0;Node.JS Разработчик
8;;;;;;Санкт-Петербург;Investex Ltd;https://api.hh.ru/employers/3192431;https://hh.ru/vacancy/30619849;RUR;200000.0;;Senior Frontend Developer (React)
9;40к4;59.818079;30.328004;;Пулковское шоссе;Санкт-Петербург;Макспостер;https://api.hh.ru/employers/1502110;https://hh.ru/vacancy/30222919;RUR;;190000.0;Front-end разработчик
10;;;;;;Санкт-Петербург;TradeTheNews.com;https://api.hh.ru/employers/1386365;https://hh.ru/vacancy/30592051;RUR;100000.0;250000.0;Senior Full-Stack Developer/Architect (C#, MS-SQL, Javascript)
11;61к2;59.973176;30.340464;Выборгская;Большой Сампсониевский проспект;Санкт-Петербург;NeuroCRM;https://api.hh.ru/employers/3001793;https://hh.ru/vacancy/30606602;RUR;80000.0;180000.0;JavaScript / JS разработчик / PHP программист / Middle
12;;;;;;Санкт-Петербург;ОнТаргет ЛАБС;https://api.hh.ru/employers/850334;https://hh.ru/vacancy/30256093;USD;3500.0;4500.0;Senior WEB (Javascript) Developer
13;7;59.932437;30.321186;Сенная площадь;Адмиралтейский район, Казанская улица;Санкт-Петербург;Plumsail;https://api.hh.ru/employers/1752125;https://hh.ru/vacancy/30620961;RUR;120000.0;;Full Stack Developer (JavaScript, C#, ASP.NET Core)
14;;;;Чернышевская;;Санкт-Петербург;Alyce;https://api.hh.ru/employers/2708927;https://hh.ru/vacancy/30581988;RUR;180000.0;;Senior Frontend Developer
15;12;59.902907;30.398208;Елизаровская;улица Седова;Санкт-Петербург;Свордфиш Секьюрити;https://api.hh.ru/employers/1239730;https://hh.ru/vacancy/30608234;RUR;180000.0;;Full Stack .NET Software Engineer
16;8;59.90718;30.323594;Фрунзенская;Заозёрная улица;Санкт-Петербург;СЛВ;https://api.hh.ru/employers/3186903;https://hh.ru/vacancy/30430100;RUR;90000.0;;Frontend-разработчик (React.js)
17;18;59.9246550287;30.2818635423;Василеостровская;набережная реки Пряжки;Санкт-Петербург;СЗ РЦАИ;https://api.hh.ru/employers/1647549;https://hh.ru/vacancy/30511197;RUR;90000.0;;Middle Full Stack Developer (PHP/JS)
18;126б;59.985863;30.202734;;улица Савушкина;Санкт-Петербург;Неотек;https://api.hh.ru/employers/1776376;https://hh.ru/vacancy/30390466;RUR;120000.0;170000.0;Senior Front-end developer (React)
19;35;56.307132;43.997955;Горьковская;улица Тимирязева;Санкт-Петербург;Таймбук;https://api.hh.ru/employers/1334941;https://hh.ru/vacancy/30495218;RUR;120000.0;;Frontend Developer
20;14;59.95876;30.291973;;Большая Разночинная улица;Санкт-Петербург;Висмарт;https://api.hh.ru/employers/2186462;https://hh.ru/vacancy/30443483;RUR;90000.0;130000.0;Front-end разработчик
21;26;59.941912;30.348998;Чернышевская;Литейный проспект;Санкт-Петербург;Osla;https://api.hh.ru/employers/2668672;https://hh.ru/vacancy/30610856;RUR;80000.0;;Frontend разработчик (React)
22;;;;;;Санкт-Петербург;4xxi;https://api.hh.ru/employers/1536449;https://hh.ru/vacancy/30477045;RUR;100000.0;;Frontend-разработчик React
23;4;59.9952109863;30.248383873;Старая Деревня;улица Оптиков;Санкт-Петербург;Центр информационных проектов;https://api.hh.ru/employers/1351596;https://hh.ru/vacancy/30390347;RUR;80000.0;120000.0;Frontend-разработчик
24;37Щ;59.971564;30.299941;Петроградская;улица Профессора Попова;Санкт-Петербург;Рустат;https://api.hh.ru/employers/3940468;https://hh.ru/vacancy/30398880;RUR;80000.0;250000.0;Web-разработчик back-end
25;3БА;59.933519;30.357568;;Центральный район, улица Маяковского;Санкт-Петербург;OCTOBOARD;https://api.hh.ru/employers/2487890;https://hh.ru/vacancy/30593281;RUR;110000.0;;Full-stack Javascript developer
26;;;;Петроградская;;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/30612652;RUR;100000.0;150000.0;Middle Frontend Developer (Angular)
27;;;;;;Санкт-Петербург;QBAR;https://api.hh.ru/employers/1891995;https://hh.ru/vacancy/30592075;RUR;100000.0;;Full Stack Developer / Разработчик
28;2;59.980709;30.324276;Петроградская;Кантемировская;Санкт-Петербург;ALM Works;https://api.hh.ru/employers/542183;https://hh.ru/vacancy/29415269;RUR;239000.0;;Senior Frontend Developer (JIRA, Confluence)
29;61к2;59.973176;30.340464;Выборгская;Большой Сампсониевский проспект;Санкт-Петербург;STORVERK (ООО Сторверк);https://api.hh.ru/employers/1497729;https://hh.ru/vacancy/30278574;RUR;80000.0;;Web developer/Веб-программист (php)
30;33;60.0143740134;30.2959878724;Пионерская;Коломяжский проспект;Санкт-Петербург;Красивый город;https://api.hh.ru/employers/996356;https://hh.ru/vacancy/30139187;RUR;100000.0;;Разработчик PHP Yii2(Full-stack)
31;18;59.9246550287;30.2818635423;Василеостровская;набережная реки Пряжки;Санкт-Петербург;СЗ РЦАИ;https://api.hh.ru/employers/1647549;https://hh.ru/vacancy/30215112;RUR;80000.0;130000.0;JavaScript Developer
32;36;59.927676;30.343509;;улица Рубинштейна;Санкт-Петербург;ONDOC;https://api.hh.ru/employers/1577832;https://hh.ru/vacancy/30397298;RUR;110000.0;;Senior Frontend developer
33;61к2;59.973176;30.340464;Выборгская;Большой Сампсониевский проспект;Санкт-Петербург;NeuroCRM;https://api.hh.ru/employers/3001793;https://hh.ru/vacancy/30606767;RUR;150000.0;200000.0;Team Leader / Team Lead / Full stack
34;метро Обводный канал;59.914669;30.349573;;5 линия;Санкт-Петербург;Тонер78.Ру;https://api.hh.ru/employers/3845375;https://hh.ru/vacancy/30359055;RUR;80000.0;;React redux frontend разработчик
35;3А;59.969232;30.316281;Петроградская;проспект Медиков;Санкт-Петербург;Subtotal;https://api.hh.ru/employers/2708369;https://hh.ru/vacancy/30256062;RUR;80000.0;;Web разработчик (программист Python, Angular JS, Pyramid)
36;;;;;;Санкт-Петербург;Чиббис;https://api.hh.ru/employers/2695590;https://hh.ru/vacancy/30351961;RUR;100000.0;;Senior Frontend developer
37;5;59.964007;30.29147;Чкаловская;Лодейнопольская;Санкт-Петербург;Broadridge;https://api.hh.ru/employers/79595;https://hh.ru/vacancy/30270817;USD;3000.0;;Senior Front-end \ Full-stack developer
38;18к3;59.960278;30.333107;Горьковская;Петроградская набережная;Санкт-Петербург;Колибри;https://api.hh.ru/employers/1592241;https://hh.ru/vacancy/30530093;RUR;60000.0;100000.0;Middle Full-stack developer (Yii2), WEB-разработчик
39;17к1;60.054554;30.310568;Озерки;Выборгское шоссе;Санкт-Петербург;Радиофид;https://api.hh.ru/employers/849819;https://hh.ru/vacancy/30428818;RUR;80000.0;;Middle Full Stack Python разработчик
40;9;59.9653491265;30.3156471693;Петроградская;улица Льва Толстого;Санкт-Петербург;Вайт Код;https://api.hh.ru/employers/1519234;https://hh.ru/vacancy/30289152;RUR;150000.0;;Ruby on Rails Backend developer (RoR)
41;92;59.932166;30.353265;Маяковская;Невский проспект;Санкт-Петербург;Томесто;https://api.hh.ru/employers/1186103;https://hh.ru/vacancy/30593521;RUR;80000.0;120000.0;Разработчик Ruby on Rails
42;19;59.93493;30.3102;;Малая Морская улица;Санкт-Петербург;Блог Фиеста;https://api.hh.ru/employers/1314342;https://hh.ru/vacancy/30333039;RUR;50000.0;170000.0;Разработчик Ruby on Rails
43;;;;Петроградская;;Санкт-Петербург;Кадровый холдинг ПРОФИЛЬ;https://api.hh.ru/employers/1416424;https://hh.ru/vacancy/30631071;RUR;100000.0;;JavaScript (React.JS) Front-еnd developer
44;18;59.934231;30.31029;;Малая Морская улица;Санкт-Петербург;Spark Equation;https://api.hh.ru/employers/1787419;https://hh.ru/vacancy/30633901;RUR;120000.0;175000.0;Middle Fullstack Python Engineer
45;;;;;;Санкт-Петербург;ОнТаргет ЛАБС;https://api.hh.ru/employers/850334;https://hh.ru/vacancy/30242922;USD;3500.0;4500.0;Senior Software Developer (MS SQL, .NET, Ruby)
46;70;59.970668;30.45641;Ладожская;Индустриальный проспект;Санкт-Петербург;Mad Wave;https://api.hh.ru/employers/596288;https://hh.ru/vacancy/30635120;RUR;90000.0;160000.0;Ведущий программист PHP/PHP Developer
47;70;59.970668;30.45641;Ладожская;Индустриальный проспект;Санкт-Петербург;Mad Wave;https://api.hh.ru/employers/596288;https://hh.ru/vacancy/30635140;RUR;80000.0;120000.0;Программист PHP
48;83;59.985665;30.252636;Старая Деревня;улица Савушкина;Санкт-Петербург;Lenvendo;https://api.hh.ru/employers/1227460;https://hh.ru/vacancy/30389245;RUR;85000.0;140000.0;PHP-developer/PHP-программист (Bitrix)
49;3Б;59.930787;30.436817;Ладожская;проспект Энергетиков;Санкт-Петербург;Сити лайф;https://api.hh.ru/employers/1949789;https://hh.ru/vacancy/30436868;RUR;140000.0;;Senior frontend JS разработчик
50;;55.7087370871;37.6533172804;;Замоскворецкая линия;Санкт-Петербург;Jivosite;https://api.hh.ru/employers/1593897;https://hh.ru/vacancy/29528578;RUR;90000.0;140000.0;Frontend developer
51;18;59.934231;30.31029;;Малая Морская улица;Санкт-Петербург;Spark Equation;https://api.hh.ru/employers/1787419;https://hh.ru/vacancy/30633829;RUR;115000.0;170000.0;Middle Fullstack Engineer
